EmployeeID,LastName,FirstName,Title,TitleOfCourtesy,BirthDate,HireDate,Address,City,Region,PostalCode,Country,HomePhone,Extension,Notes,ReportsTo,PhotoPath,
1,Davolio,Nancy,Sales Representative,Ms.,12/8/1948 0:00,5/1/1992 0:00,507 - 20th Ave. E.,,,,,,,,,,
Apt. 2A,Seattle,WA,98122,USA,(206) 555-9857,5467,2,http://accweb/emmployees/davolio.bmp,http://accweb/emmployees/davolio.bmp,,,,,,,,
2,Fuller,Andrew,Vice President, Sales,Dr.,2/19/1952 0:00,8/14/1992 0:00,908 W. Capital Way,Tacoma,WA,98401,USA,(206) 555-9482,3457,,http://accweb/emmployees/fuller.bmp,http://accweb/emmployees/fuller.bmp
3,Leverling,Janet,Sales Representative,Ms.,8/30/1963 0:00,4/1/1992 0:00,722 Moss Bay Blvd.,Kirkland,WA,98033,USA,(206) 555-3412,3355,2,http://accweb/emmployees/leverling.bmp,http://accweb/emmployees/leverling.bmp,
4,Peacock,Margaret,Sales Representative,Mrs.,9/19/1937 0:00,5/3/1993 0:00,4110 Old Redmond Rd.,Redmond,WA,98052,USA,(206) 555-8122,5176,2,http://accweb/emmployees/peacock.bmp,http://accweb/emmployees/peacock.bmp,
5,Buchanan,Steven,Sales Manager,Mr.,3/4/1955 0:00,10/17/1993 0:00,14 Garrett Hill,London,,SW1 8JR,UK,(71) 555-4848,3453,2,http://accweb/emmployees/buchanan.bmp,http://accweb/emmployees/buchanan.bmp,
6,Suyama,Michael,Sales Representative,Mr.,7/2/1963 0:00,10/17/1993 0:00,Coventry House,,,,,,,,,,
Miner Rd.,London,,EC2 7JR,UK,(71) 555-7773,428,5,http://accweb/emmployees/davolio.bmp,http://accweb/emmployees/davolio.bmp,,,,,,,,
7,King,Robert,Sales Representative,Mr.,5/29/1960 0:00,1/2/1994 0:00,Edgeham Hollow,,,,,,,,,,
Winchester Way,London,,RG1 9SP,UK,(71) 555-5598,465,5,http://accweb/emmployees/davolio.bmp,http://accweb/emmployees/davolio.bmp,,,,,,,,
8,Callahan,Laura,Inside Sales Coordinator,Ms.,1/9/1958 0:00,3/5/1994 0:00,4726 - 11th Ave. N.E.,Seattle,WA,98105,USA,(206) 555-1189,2344,2,http://accweb/emmployees/davolio.bmp,http://accweb/emmployees/davolio.bmp,
9,Dodsworth,Anne,Sales Representative,Ms.,1/27/1966 0:00,11/15/1994 0:00,7 Houndstooth Rd.,London,,WG2 7LT,UK,(71) 555-4444,452,5,http://accweb/emmployees/davolio.bmp,http://accweb/emmployees/davolio.bmp,
